STT,Tên đầy đủ,Mã chứng khoán,Sàn niêm yết
149,CTCP In và Bao bì Mỹ Châu,MCP,HOSE
150,CÔNG TY CP LOGISTICS VINALINK,VNL,HOSE
151,CTCP XNK Petrolimex,PIT,HOSE
152,CTCP Vạn Phát Hưng,VPH,HOSE
153,CTCP Vận tải xăng dầu đường thủy Petrolimex,PJT,HOSE
154,CTCP Kỹ Nghệ Lạnh (SEAREFICO),SRF,HOSE
155,CT CP Văn Hóa Phương Nam,PNC,HOSE
156,Công Ty Cổ Phần Transimex,TMS,HOSE
157,CTCP Tổng Công ty Cổ phần Địa ốc Sài Gòn,SGR,HOSE
158,CÔNG TY CỔ PHẦN LOGISTICS VICEM,HTV,HOSE
159,CTCP Dịch vụ Ô tô Hàng Xanh,HAX,HOSE
160,CTCP Sợi Thế Kỷ,STK,HOSE
161,CTCP Ánh Dương Việt Nam,VNS,HOSE
162,CTCP Sơn Á Đông,ADP,HOSE
163,CTCP TV-TM-DV Địa ốc Hoàng Quân,HQC,HOSE
164,CTCP Đầu tư phát triển hạ tầng IDICO,HTI,HOSE
165,CÔNG TY CỔ PHẦN SẢN XUẤT KINH DOANH XUẤT NHẬP KHẨU BÌNH THẠNH,GIL,HOSE
166,CTCP Đầu tư - Kinh doanh Nhà,ITC,HOSE
167,CÔNG TY CỔ PHẦN NAM VIỆT,NAV,HOSE
168,Công Ty Cổ Phần S.P.M.,SPM,HOSE
169,Công ty Cổ phần Lizen,LCG,HOSE
170,CTCP Hợp tác kinh tế và xuất nhập khẩu Savimex,SAV,HOSE
171,CTCP Khử trùng Việt Nam,VFG,HOSE
172,CTCP Phát triển nhà Thủ Đức,TDH,HOSE
173,CTCP Đầu tư hạ tầng kỹ thuật TPHCM,CII,HOSE
174,CTCP Khoan và Dịch vụ Khoan Dầu khí (PV Drilling),PVD,HOSE
175,Công Ty Cổ Phần Dược Phẩm OPC,OPC,HOSE
176,Công ty Cổ phần Tập Đoàn ST8,ST8,HOSE
177,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,KDH,HOSE
178,CTCP Công nghệ viễn thông Sài Gòn,SGT,HOSE
179,CÔNG TY CỔ PHẦN GIỐNG CÂY TRỒNG MIỀN NAM,SSC,HOSE
180,CTCP Đầu tư Phát triển Công nghiệp - Thương Mại Củ Chi,CCI,HOSE
181,CTCP TẬP ĐOÀN KIDO,KDC,HOSE
182,Tổng Công ty cổ phần Vận tải dầu khí,PVT,HOSE
183,CTCP Nhựa Tân Đại Hưng,TPC,HOSE
184,CTCP Công viên nước Đầm Sen,DSN,HOSE
185,CTCP Thế giới số,DGW,HOSE
186,CTCP Phân bón Bình Điền,BFC,HOSE
187,Công ty Cổ phần Tập đoàn Đất Xanh,DXG,HOSE
188,CTCP Đệ Tam,DTA,HOSE
189,CTCP Đầu tư và Phát triển Đa quốc gia I.D.I,IDI,HOSE
190,Công ty Cổ Phần Chương Dương,CDC,HOSE
191,Tổng CTCP Phân bón và Hóa chất Dầu khí,DPM,HOSE
192,Công ty cổ phần Cát Lợi,CLC,HOSE
193,CT CP TẬP ĐOÀN DẦU KHÍ AN PHA,ASP,HOSE
194,CTCP Sản xuất và thương mại Nam Hoa,NHT,HOSE
