STT,name,sec_code,stock_exchange
66,CTCP Nhựa bao bì Vinh,VBC,HNX
67,CTCP One Capital Hospitality,OCH,HNX
68,CTCP PETRO TIMES,PPT,HNX
69,CTCP Phát triển Hàng hải,VMS,HNX
70,CTCP Phát triển Hạ Tầng Vĩnh Phúc,IDV,HNX
71,CTCP Phát triển Năng Lượng Sơn Hà,SHE,HNX
72,CTCP Phân Bón và Hóa Chất Dầu Khí Miền Trung,PCE,HNX
73,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc,PMB,HNX
74,CTCP Phân bón và Hóa chất dầu khí Tây Nam Bộ,PSW,HNX
75,CTCP Phân lân Ninh Bình,NFC,HNX
76,CTCP Phụ gia nhựa,PGN,HNX
77,CTCP Pin Hà Nội,PHN,HNX
78,CTCP SIMCO Sông Đà,SDA,HNX
79,CTCP Sara Việt Nam,SRA,HNX
80,CTCP Sonadezi Long Bình,SZB,HNX
81,CTCP Supe Phốt phát và Hóa chất Lâm Thao,LAS,HNX
82,CTCP Sách Giáo Dục Tp.Hồ Chí Minh,SGD,HNX
83,CTCP Sách Giáo dục tại TP. Hà Nội,EBS,HNX
84,CTCP Sách giáo dục tại TP Đà Nẵng,DAE,HNX
85,CTCP Sách và Thiết bị trường học TPHCM,STC,HNX
86,CTCP Sách và thiết bị Bình Thuận,BST,HNX
87,CTCP Sách và thiết bị giáo dục Miền Nam,SMN,HNX
88,CTCP Sách và thiết bị trường học Quảng Ninh,QST,HNX
89,CTCP Sách và thiết bị trường học Đà Nẵng,BED,HNX
90,CTCP Sách Đại học - Dạy nghề,HEV,HNX
92,CTCP Sơn Đồng Nai,SDN,HNX
93,CTCP Sản xuất kinh doanh Dược và Trang thiết bị y tế Việt Mỹ,AMV,HNX
94,CTCP Sản xuất và Thương mại nhựa Việt Thành,VTZ,HNX
95,CTCP TM XNK Thủ Đức,TMC,HNX
96,CTCP Tasco,HUT,HNX
97,CTCP Test GSĐC,,HNX
98,CTCP Than Cao Sơn - TKV,CST,HNX
99,CTCP Than Hà Lầm - Vinacomin,HLC,HNX
100,CTCP Than Hà Tu - Vinacomin,THT,HNX
101,CTCP Than Mông Dương - Vinacomin,MDC,HNX
102,CTCP Than Vàng Danh - Vinacomin,TVD,HNX
103,CTCP Thanh Hoa Sông Đà,THS,HNX
104,CTCP Thiết bị Bưu điện,POT,HNX
105,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,PTD,HNX
106,CTCP Thuốc sát trùng Cần Thơ,CPC,HNX
107,CTCP Thép Mê Lin,MEL,HNX
108,CTCP Thương mại Bia Hà Nội,HAT,HNX
109,CTCP Thương mại Dịch vụ Vận tải xi măng Hải Phòng,HCT,HNX
110,CTCP Thương mại Hóc Môn,HTC,HNX
111,CTCP Thương mại và Dịch vụ LVA,LBE,HNX
112,CTCP Thương mại và Dịch vụ Tiến Thành,TTH,HNX
113,CTCP Thương mại và Vận tải Petrolimex Hà Nội,PJC,HNX
114,CTCP Thống Nhất,BAX,HNX
116,CTCP Thực phẩm Bích Chi,BCF,HNX
117,CTCP Tin học Viễn thông Petrolimex,PIA,HNX
118,CTCP Trang,TFC,HNX
119,CTCP Truyền Thông số 1,ONE,HNX
120,CTCP Tân Phú Việt Nam,TPP,HNX
121,CTCP Tư vấn xây dựng Điện 4,TV4,HNX
122,CTCP Tư vấn xây dựng điện 3,TV3,HNX
123,CTCP Tư vấn Đầu tư PP Enterprise,PPE,HNX
124,CTCP Tư vấn đầu tư IDICO,INC,HNX
125,CTCP Tập Đoàn Đầu Tư Thăng Long,TIG,HNX
126,CTCP Tập đoàn CMH Việt Nam,CMS,HNX
127,CTCP Tập đoàn COTANA,CSC,HNX
128,CTCP Tập đoàn MBG,MBG,HNX
129,CTCP Tập đoàn Nagakawa,NAG,HNX
130,CTCP Tập đoàn Nhôm Sông Hồng Shalumi,NSH,HNX
