STT,name,sec_code,stock_exchange
45,CTCP Hãng Sơn Đông Á,HDA,HNX
46,CTCP Hòa Bình Takara,CTP,HNX
47,CTCP Hóa chất Việt Trì,HVT,HNX
48,CTCP Hải Minh,HMH,HNX
49,CTCP KASATI,KST,HNX
50,CTCP Khoáng sản Bắc Kạn,BKC,HNX
51,CTCP Khách sạn Sài Gòn,SGH,HNX
52,CTCP Kim khí miền Trung,KMT,HNX
53,CTCP Kinh doanh Khí Miền Nam,PGS,HNX
54,CTCP Kinh doanh LPG Việt Nam,PVG,HNX
55,CTCP Kiên Hùng,KHS,HNX
56,CTCP Kỹ Thuật Điện Toàn Cầu,GLT,HNX
57,CTCP Kỹ nghệ khoáng sản Quảng Nam,MIC,HNX
58,CTCP LICOGI 13,LIG,HNX
59,CTCP LICOGI 14,L14,HNX
60,CTCP Lương thực thực phẩm Safoco,SAF,HNX
61,CTCP Lắp máy thí nghiệm cơ điện,LCD,HNX
62,CTCP Mía đường Sơn La,SLS,HNX
63,CTCP Mĩ Thuật và Truyền Thông,ADC,HNX
64,CTCP Ngân Sơn,NST,HNX
65,CTCP Nhân lực và thương mại Vinaconex,VCM,HNX
66,CTCP Nhựa Thiếu niên Tiền Phong,NTP,HNX
67,CTCP Nhựa bao bì Vinh,VBC,HNX
68,CTCP One Capital Hospitality,OCH,HNX
69,CTCP PETRO TIMES,PPT,HNX
70,CTCP Phát triển Hàng hải,VMS,HNX
71,CTCP Phát triển Hạ Tầng Vĩnh Phúc,IDV,HNX
72,CTCP Phát triển Năng Lượng Sơn Hà,SHE,HNX
73,CTCP Phân Bón và Hóa Chất Dầu Khí Miền Trung,PCE,HNX
74,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc,PMB,HNX
75,CTCP Phân bón và Hóa chất dầu khí Tây Nam Bộ,PSW,HNX
76,CTCP Phân lân Ninh Bình,NFC,HNX
77,CTCP Phụ gia nhựa,PGN,HNX
78,CTCP Pin Hà Nội,PHN,HNX
79,CTCP SIMCO Sông Đà,SDA,HNX
80,CTCP Sara Việt Nam,SRA,HNX
81,CTCP Sonadezi Long Bình,SZB,HNX
82,CTCP Supe Phốt phát và Hóa chất Lâm Thao,LAS,HNX
83,CTCP Sách Giáo Dục Tp.Hồ Chí Minh,SGD,HNX
84,CTCP Sách Giáo dục tại TP. Hà Nội,EBS,HNX
85,CTCP Sách giáo dục tại TP Đà Nẵng,DAE,HNX
86,CTCP Sách và Thiết bị trường học TPHCM,STC,HNX
87,CTCP Sách và thiết bị Bình Thuận,BST,HNX
88,CTCP Sách và thiết bị giáo dục Miền Nam,SMN,HNX
89,CTCP Sách và thiết bị trường học Quảng Ninh,QST,HNX
90,CTCP Sách và thiết bị trường học Đà Nẵng,BED,HNX
91,CTCP Sách Đại học - Dạy nghề,HEV,HNX
92,CTCP Sông Đà 9,SD9,HNX
93,CTCP Sơn Đồng Nai,SDN,HNX
94,CTCP Sản xuất kinh doanh Dược và Trang thiết bị y tế Việt Mỹ,AMV,HNX
95,CTCP Sản xuất và Thương mại nhựa Việt Thành,VTZ,HNX
96,CTCP TM XNK Thủ Đức,TMC,HNX
97,CTCP Tasco,HUT,HNX
98,CTCP Test GSĐC,,HNX
99,CTCP Than Cao Sơn - TKV,CST,HNX
100,CTCP Than Hà Lầm - Vinacomin,HLC,HNX
101,CTCP Than Hà Tu - Vinacomin,THT,HNX
102,CTCP Than Mông Dương - Vinacomin,MDC,HNX
103,CTCP Than Vàng Danh - Vinacomin,TVD,HNX
104,CTCP Thanh Hoa Sông Đà,THS,HNX
105,CTCP Thiết bị Bưu điện,POT,HNX
106,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,PTD,HNX
107,CTCP Thuốc sát trùng Cần Thơ,CPC,HNX
108,CTCP Thép Mê Lin,MEL,HNX
109,CTCP Thương mại Bia Hà Nội,HAT,HNX
110,CTCP Thương mại Dịch vụ Vận tải xi măng Hải Phòng,HCT,HNX
111,CTCP Thương mại Hóc Môn,HTC,HNX
112,CTCP Thương mại và Dịch vụ LVA,LBE,HNX
113,CTCP Thương mại và Dịch vụ Tiến Thành,TTH,HNX
114,CTCP Thương mại và Vận tải Petrolimex Hà Nội,PJC,HNX
115,CTCP Thống Nhất,BAX,HNX
116,CTCP Thủy điện Nậm Mu,HJS,HNX
117,CTCP Thực phẩm Bích Chi,BCF,HNX
118,CTCP Tin học Viễn thông Petrolimex,PIA,HNX
119,CTCP Trang,TFC,HNX
120,CTCP Truyền Thông số 1,ONE,HNX
121,CTCP Tân Phú Việt Nam,TPP,HNX
122,CTCP Tư vấn xây dựng Điện 4,TV4,HNX
123,CTCP Tư vấn xây dựng điện 3,TV3,HNX
124,CTCP Tư vấn Đầu tư PP Enterprise,PPE,HNX
125,CTCP Tư vấn đầu tư IDICO,INC,HNX
126,CTCP Tập Đoàn Đầu Tư Thăng Long,TIG,HNX
127,CTCP Tập đoàn CMH Việt Nam,CMS,HNX
128,CTCP Tập đoàn COTANA,CSC,HNX
129,CTCP Tập đoàn MBG,MBG,HNX
130,CTCP Tập đoàn Nagakawa,NAG,HNX
131,CTCP Tập đoàn Nhôm Sông Hồng Shalumi,NSH,HNX
132,CTCP Tập đoàn Quản lý Tài sản Trí Việt,TVC,HNX
133,CTCP Tập đoàn Thiên Quang,ITQ,HNX
134,CTCP Tập đoàn Vexilla Việt Nam,SVN,HNX
135,CTCP Tập đoàn Vinacontrol,VNC,HNX
136,CTCP Tập đoàn Xây dựng SCG,SCG,HNX
137,CTCP Tập đoàn Đầu tư Din Capital,PDB,HNX
138,CTCP Tập đoàn Đầu tư IPA,IPA,HNX
139,CTCP VICOSTONE,VCS,HNX
140,CTCP Vicem Bao bì Bút Sơn,BBS,HNX
141,CTCP Vicem Bao bì Bỉm Sơn,BPC,HNX
142,CTCP Vicem Bao bì Hải Phòng,BXH,HNX
143,CTCP Vicem Thạch cao xi măng,TXM,HNX
144,CTCP Viglacera Hạ Long,VHL,HNX
145,CTCP Viglacera Đông Triều,DTC,HNX
146,CTCP Vinaconex 21,V21,HNX
147,CTCP Vinaconex 25,VCC,HNX
148,CTCP Viễn Thông VTC,VTC,HNX
149,CTCP Văn hóa Tân Bình,ALT,HNX
150,CTCP Vải sợi May mặc Miền Bắc,TET,HNX
151,CTCP Vận tải Khí và Hóa chất Việt Nam,PCT,HNX
152,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng,PTS,HNX
153,CTCP Vận tải và dịch vụ Petrolimex Sài Gòn,PSC,HNX
154,CTCP X20,X20,HNX
155,CTCP XNK Sa Giang,SGC,HNX
156,CTCP Xi măng Bỉm Sơn,BCC,HNX
157,CTCP Xi măng Thái Bình,TBX,HNX
158,CTCP Xi măng Vicem Bút Sơn,BTS,HNX
159,CTCP Xi măng Vicem Hoàng Mai,HOM,HNX
160,CTCP Xuất nhập khẩu Than - Vinacomin,CLM,HNX
161,CTCP XÂY LẮP III PETROLIMEX,PEN,HNX
162,CTCP Xây dựng Sông Hồng,ICG,HNX
163,CTCP Xây dựng Số 1,VC1,HNX
164,CTCP Xây dựng số 12,V12,HNX
165,CTCP Xây dựng và Đầu tư Visicons,VC6,HNX
166,CTCP Xây dựng điện VNECO 8,VE8,HNX
167,CTCP Xây dựng điện VNECO4,VE4,HNX
168,CTCP Xây dựng điện Vneco 3,VE3,HNX
169,CTCP Xây lắp Phát triển nhà Đà Nẵng,NDX,HNX
170,CTCP Xây lắp cơ khí và lương thực thực phẩm,MCF,HNX
171,CTCP Xăng dầu dầu khí Phú Yên,PPY,HNX
172,CTCP chế tạo kết cấu thép VNECO.SSM,SSM,HNX
173,CTCP que hàn điện Việt Đức,QHD,HNX
174,CTCP xuất nhập khẩu Hàng không,ARM,HNX
175,CTCP xây dựng điện VNECO1,VE1,HNX
176,CTCP Điện nước lắp máy Hải Phòng,DNC,HNX
177,CTCP Đại lý hàng hải Việt Nam,VSA,HNX
178,CTCP Đầu Tư Công Nghiệp Xuất Nhập Khẩu Đông Dương,DDG,HNX
179,CTCP Đầu tư CMC,CMC,HNX
180,CTCP Đầu tư Châu Á - Thái Bình Dương,API,HNX
181,CTCP Đầu tư PV2,PV2,HNX
182,CTCP Đầu tư Phát triển Thành Đạt,DTD,HNX
183,CTCP Đầu tư Phát triển Xây dựng - Hội An,DIH,HNX
184,CTCP Đầu tư Sao Thăng Long,DST,HNX
185,CTCP Đầu tư Sản xuất Bảo Ngọc,BNA,HNX
186,CTCP Đầu tư dịch vụ và phát triển xanh,GIC,HNX
187,CTCP Đầu tư phát triển gas đô thị,PCG,HNX
188,CTCP Đầu tư phát triển nhà Đà Nẵng,NDN,HNX
189,CTCP Đầu tư phát triển xây dựng (DIC) số 2,DC2,HNX
190,CTCP Đầu tư tổng hợp Hà Nội,SHN,HNX
191,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,HLD,HNX
192,CTCP Đầu tư và Phát triển Sao Mai (tên cũ CTCP Viễn Liên),UNI,HNX
193,CTCP Đầu tư và Phát triển TDT,TDT,HNX
194,CTCP Đầu tư và Phát triển doanh nghiệp Việt Nam,FID,HNX
195,CTCP Đầu tư và Phát triển giáo dục Phương Nam,SED,HNX
196,CTCP Đầu tư và Phát triển Điện Miền Trung,SEB,HNX
197,CTCP Đầu tư và Thương mại TNG,TNG,HNX
198,CTCP Đầu tư và Xây dựng BDC Việt Nam,MCO,HNX
199,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,LHC,HNX
200,CTCP Đầu tư và Xây dựng Vina2,VC2,HNX
201,CTCP Đầu tư và Xây dựng số 18 (LICOGI 18),L18,HNX
202,CTCP Đầu tư và phát triển giáo dục Đà Nẵng,DAD,HNX
203,CTCP Đầu tư và xây lắp Constrexim Số 8,CX8,HNX
204,CTCP Đầu tư xây dựng và phát triển đô thị sông Đà,SDU,HNX
205,CTCP Đầu tư Điện Lực 3,PIC,HNX
206,CTCP Địa ốc Chợ Lớn,RCL,HNX
207,CTCP Đồ hộp Hạ Long,CAN,HNX
208,CTCP Ắc quy Tia Sáng,TSB,HNX
209,CTCP Ống thép Việt Đức VGPIPE,VGS,HNX
210,CÔNG TY CP VINAFREIGHT,VNF,HNX
211,CÔNG TY CỔ PHẦN AAV GROUP,AAV,HNX
212,CÔNG TY CỔ PHẦN ALPHANAM E&C,AME,HNX
213,CÔNG TY CỔ PHẦN CẤP NƯỚC NHÀ BÈ,NBW,HNX
214,CÔNG TY CỔ PHẦN DNP HOLDING,DNP,HNX
215,CÔNG TY CỔ PHẦN DU LỊCH - THƯƠNG MẠI TÂY NINH,TTT,HNX
216,CÔNG TY CỔ PHẦN DỊCH VỤ SÂN BAY QUỐC TẾ CAM RANH,CIA,HNX
217,CÔNG TY CỔ PHẦN KINH DOANH THAN MIỀN BẮC- VINACOMIN,TMB,HNX
218,CÔNG TY CỔ PHẦN PGT HOLDINGS,PGT,HNX
219,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ VI NA TA BA,VTJ,HNX
220,CÔNG TY CỔ PHẦN TẬP ĐOÀN DANH KHÔI,NRC,HNX
221,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 9 – VC9,VC9,HNX
222,CÔNG TY CỔ PHẦN ĐIỆN CƠ HẢI PHÒNG,DHP,HNX
223,Công Ty Cổ Phần Dược Lâm Đồng (Ladophar),LDP,HNX
224,Công Ty Cổ Phần Nông Nghiệp Hùng Hậu,SJ1,HNX
225,Công Ty Cổ Phần Địa Ốc 11,D11,HNX
226,Công ty CP Bánh kẹo Hải Hà,HHC,HNX
227,Công ty CP SCI E&C,SCI,HNX
228,Công ty CP Sadico Cần Thơ,SDG,HNX
229,Công ty CP Đầu tư IDJ Việt Nam,IDJ,HNX
230,Công ty CP Đầu tư MST,MST,HNX
231,Công ty Cổ phần Tập đoàn BGI,VC7,HNX
232,Công ty Cổ phần Cơ điện miền Trung,CJC,HNX
233,Công ty Cổ phần Cấp nước Bến Thành,BTW,HNX
234,Công ty Cổ phần DS3,DS3,HNX
235,Công ty Cổ phần Dây cáp điện Việt Thái,VTH,HNX
236,Công ty Cổ phần Dược trung ương Mediplantex,MED,HNX
237,Công ty Cổ phần Dệt lưới Sài Gòn,SFN,HNX
238,Công ty Cổ phần Nhiệt điện Ninh Bình,NBP,HNX
239,Công ty Cổ phần Năng lượng và Môi trường VICEM (tên cũ CTCP Vicem Vật tư vận tải xi măng),VTV,HNX
240,Công ty Cổ phần SAMETEL,SMT,HNX
241,Công ty Cổ phần Thaiholdings,THD,HNX
242,Công ty Cổ phần Thủy điện Nước Trong,NTH,HNX
243,Công ty Cổ phần Transimex Logistics,TOT,HNX
244,Công ty Cổ phần Tập Đoàn Alpha Seven,DL1,HNX
245,Công ty Cổ phần Tập đoàn ECI,ECI,HNX
246,Công ty Cổ phần Tập đoàn GCL,KDM,HNX
247,Công ty Cổ phần Tập đoàn Thành Thái,KKC,HNX
248,Công ty Cổ phần Viglacera Tiên Sơn,VIT,HNX
249,Công ty Cổ phần Vimeco,VMC,HNX
250,Công ty Cổ phần Xây dựng 1369,C69,HNX
251,Công ty Cổ phần Xây lắp Thành An 96,TA9,HNX
252,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,VLA,HNX
253,Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội,EID,HNX
254,Công ty Cổ phần Đầu tư và Xây dựng 40,L40,HNX
255,Công ty Cổ phần đầu tư DNA,KSD,HNX
256,Công ty cổ phần Bê tông Hòa Cầm - Intimex,HCC,HNX
257,Công ty cổ phần Bột giặt NET,NET,HNX
258,Công ty cổ phần Chế tạo Bơm Hải Dương,CTB,HNX
259,Công ty cổ phần HTC Holding,CET,HNX
260,Công ty cổ phần Khoáng sản Á Châu,AMC,HNX
261,Công ty cổ phần Logistics PortserCo,PRC,HNX
262,Công ty cổ phần Nhựa Picomat,PCH,HNX
263,Công ty cổ phần PVI,PVI,HNX
264,Công ty cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,PSE,HNX
265,Công ty cổ phần SCI,S99,HNX
266,Công ty cổ phần Spiral Galaxy,SPI,HNX
267,Công ty cổ phần Sông Đà 11,SJE,HNX
268,Công ty cổ phần Sông Đà 5,SD5,HNX
269,Công ty cổ phần Sông Đà 505,S55,HNX
270,Công ty cổ phần Than Núi Béo – Vinacomin,NBC,HNX
271,Công ty cổ phần Thực phẩm Lâm Đồng,VDL,HNX
272,Công ty cổ phần Tư Vấn Sông Đà,SDC,HNX
273,Công ty cổ phần Tập đoàn C.E.O,CEO,HNX
274,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,CAR,HNX
275,Công ty cổ phần Tập đoàn Macstar,MAC,HNX
276,Công ty cổ phần Tập đoàn Nam Mê Kông,VC3,HNX
277,Công ty cổ phần Tập đoàn Sunshine (Công ty Cổ phần Tập đoàn Real Tech,KSF,HNX
278,Công ty cổ phần Tập đoàn tập đoàn đầu tư ATS,ATS,HNX
279,Công ty cổ phần lâm nông sản thực phẩm Yên Bái,CAP,HNX
280,Công ty cổ phần Đá Hoàng Mai,HMR,HNX
281,Công ty cổ phần Đường Kon Tum,KTS,HNX
282,Công ty cổ phần Đầu tư QP Xanh,HKT,HNX
283,Ngân hàng TMCP Bắc Á,BAB,HNX
284,Ngân hàng TMCP Quốc Dân,NVB,HNX
285,Tổng CT Công nghiệp mỏ Việt Bắc TKV-CTCP,MVB,HNX
286,Tổng CTCP Bảo Hiểm Bưu Điện,PTI,HNX
287,Tổng CTCP Dịch vụ Kỹ thuật Dầu khí Việt Nam,PVS,HNX
288,Tổng CTCP Tái bảo hiểm quốc gia Việt Nam,VNR,HNX
289,Tổng công ty Hoá chất và dịch vụ Dầu khí - CTCP,PVC,HNX
290,Tổng công ty Hóa dầu Petrolimex - CTCP,PLC,HNX
291,Tổng công ty IDICO - CTCP,IDC,HNX
292,Tổng công ty Lâm nghiệp Việt Nam - CTCP,VIF,HNX
293,Tổng công ty Thăng Long-CTCP,TTL,HNX
294,Tổng công ty cổ phần tái bảo hiểm Hà Nội (Tổng công ty cổ phần tái bảo hiểm PVI),PRE,HNX
295,Tổng công ty khoáng sản TKV - CTCP,KSV,HNX
296,Tổng công ty Điện lực TKV - CTCP,DTK,HNX
297,CT CP TẬP ĐOÀN DẦU KHÍ AN PHA,ASP,HOSE
298,CT CP Văn Hóa Phương Nam,PNC,HOSE
299,CTCP AN TIẾN INDUSTRIES,HII,HOSE
300,CTCP Bamboo Capital,BCG,HOSE
301,CTCP Bia Sài Gòn - Miền Trung,SMB,HOSE
302,CTCP Bán lẻ kỹ thuật số FPT,FRT,HOSE
303,CTCP BĐS Du lịch Ninh Vân Bay,NVT,HOSE
304,CTCP Bất động sản Khải Hoàn Land,KHG,HOSE
305,CTCP Bất động sản Điện lực miền Trung,LEC,HOSE
306,CTCP Bột giặt LIX,LIX,HOSE
307,CTCP CMC,CVT,HOSE
308,CTCP CNG Việt Nam,CNG,HOSE
309,CTCP COMA 18,CIG,HOSE
310,CTCP Cao su Hòa Bình,HRC,HOSE
311,CTCP Cao su Tây Ninh,TRC,HOSE
312,CTCP Cao su Đà Nẵng,DRC,HOSE
313,CTCP Chế biến gỗ Thuận An,GTA,HOSE
314,CTCP Chế biến hàng xuất khẩu Long An,LAF,HOSE
315,CTCP City Auto,CTF,HOSE
316,CTCP Clever Group (tên cũ CTCP Quảng cáo thông minh),ADG,HOSE
317,CTCP Container Việt Nam,VSC,HOSE
318,CTCP Cáp treo Núi Bà Tây Ninh,TCT,HOSE
319,CTCP Công nghiệp Gốm sứ Taicera,TCR,HOSE
320,CTCP Công nghệ Sài gòn Viễn Đông,SVT,HOSE
321,CTCP Công nghệ Tiên Phong,ITD,HOSE
322,CTCP Công nghệ viễn thông Sài Gòn,SGT,HOSE
323,CTCP Công viên nước Đầm Sen,DSN,HOSE
324,CTCP Cơ điện lạnh,REE,HOSE
325,CTCP Cảng Đồng Nai,PDN,HOSE
326,CTCP Cấp Nước Thủ Đức,TDW,HOSE
327,CTCP Cấp nước chợ Lớn,CLW,HOSE
328,CTCP DRH HOLDINGS,DRH,HOSE
329,CTCP Dây và Cáp điện Taya Việt Nam,TYA,HOSE
330,CTCP Dược - Trang Thiết Bị Y Tế Bình Định,DBD,HOSE
331,CTCP Dược Hậu Giang,DHG,HOSE
332,CTCP Dược phẩm Bến Tre,DBT,HOSE
333,CTCP Dược phẩm TW VIDIPHA,VDP,HOSE
334,CTCP Dầu khí Thái Dương,TDG,HOSE
335,CTCP Dệt may đầu tư thương mại Thành Công,TCM,HOSE
336,CTCP Dịch Vụ Hàng Hóa Sài Gòn,SCS,HOSE
337,CTCP Dịch vụ Bất động sản Đất Xanh,DXS,HOSE
338,CTCP Dịch vụ Hàng không Taseco,AST,HOSE
339,CTCP Dịch vụ hàng hóa Nội Bài,NCT,HOSE
340,CTCP Dịch vụ tổng hợp Sài Gòn,SVC,HOSE
341,CTCP Dịch vụ Ô tô Hàng Xanh,HAX,HOSE
342,CTCP Everpia,EVE,HOSE
343,CTCP GARMEX SÀI GÒN,GMC,HOSE
344,CTCP Gemadept,GMD,HOSE
345,CTCP Gỗ An Cường,ACG,HOSE
346,CTCP HACISCO,HAS,HOSE
347,CTCP Hoàng Anh Gia Lai,HAG,HOSE
348,CTCP Hàng không VietJet,VJC,HOSE
349,CTCP Hưng Thịnh Incons,HTN,HOSE
350,CTCP Hợp tác kinh tế và xuất nhập khẩu Savimex,SAV,HOSE
351,CTCP ICD Tân cảng - Long Bình,ILB,HOSE
352,CTCP In và Bao bì Mỹ Châu,MCP,HOSE
353,CTCP Kho vận miền Nam,STG,HOSE
354,CTCP Khoan và Dịch vụ Khoan Dầu khí (PV Drilling),PVD,HOSE
355,CTCP Khoáng sản Bình Định,BMC,HOSE
356,CTCP Khoáng sản Công nghiệp Yên Bái,YBM,HOSE
357,CTCP Khoáng sản Fecon,FCM,HOSE
358,CTCP Khử trùng Việt Nam,VFG,HOSE
359,CTCP Kim khí TPHCM - VNSTEEL,HMC,HOSE
360,CTCP Kinh doanh và Phát triển Bình Dương,TDC,HOSE
361,CTCP Kosy,KOS,HOSE
362,CTCP Kỹ Nghệ Lạnh (SEAREFICO),SRF,HOSE
363,CTCP Lilama 18,LM8,HOSE
364,CTCP Long Hậu,LHG,HOSE
365,CTCP Lọc hóa dầu Bình Sơn,BSR,HOSE
366,CTCP MHC,MHC,HOSE
367,CTCP May Sông Hồng,MSH,HOSE
368,CTCP Mirae,KMR,HOSE
369,CTCP Mía đường Lam Sơn,LSS,HOSE
370,CTCP Nam Việt,ANV,HOSE
371,CTCP Ngoại Thương và Phát triển Đầu tư TP.HCM,FDC,HOSE
372,CTCP Nhiên liệu Sài Gòn,SFC,HOSE
373,CTCP Nhiệt điện Bà Rịa,BTP,HOSE
374,CTCP Nhiệt điện Phả Lại,PPC,HOSE
375,CTCP Nhựa An Phát Xanh,AAA,HOSE
376,CTCP Nhựa Bình Minh,BMP,HOSE
377,CTCP Nhựa Tân Đại Hưng,TPC,HOSE
378,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,HNG,HOSE
379,CTCP Năng lượng và Bất động sản Trường Thành,TEG,HOSE
380,CTCP Nước Thủ Dầu Một,TDM,HOSE
381,CTCP Phát Triển BĐS Phát Đạt,PDR,HOSE
382,CTCP Phát triển hạ tầng kỹ thuật,IJC,HOSE
383,CTCP Phát triển khu công nghiệp Tín Nghĩa,TIP,HOSE
384,CTCP Phát triển nhà Bà Rịa - Vũng Tàu,HDC,HOSE
385,CTCP Phát triển nhà Thủ Đức,TDH,HOSE
386,CTCP Phát triển Điện lực Việt Nam,VPD,HOSE
387,CTCP Phát triển Đô thị Từ Liêm,NTL,HOSE
388,CTCP Phân bón Bình Điền,BFC,HOSE
389,CTCP Phân bón Miền Nam,SFG,HOSE
390,CTCP Phân lân nung chảy Văn Điển,VAF,HOSE
391,CTCP Phân phối Khí thấp áp Dầu khí Việt Nam,PGD,HOSE
392,CTCP Phú Tài,PTB,HOSE
393,CTCP Phục vụ mặt đất Sài Gòn,SGN,HOSE
394,CTCP Quốc Cường Gia Lai,QCG,HOSE
395,CTCP SXKD XNK DV và DT Tân Bình (Tanimex),TIX,HOSE
396,CTCP Siam Brothers Việt Nam,SBV,HOSE
397,CTCP Sonadezi Châu Đức,SZC,HOSE
398,CTCP Sonadezi long thành,SZL,HOSE
399,CTCP Sông Ba,SBA,HOSE
400,CTCP Sơn Hà Sài Gòn,SHA,HOSE
401,CTCP Sơn Á Đông,ADP,HOSE
402,CTCP Sản xuất và công nghệ nhựa Pha Lê,PLP,HOSE
403,CTCP Sản xuất và thương mại Nam Hoa,NHT,HOSE
404,CTCP Sợi Thế Kỷ,STK,HOSE
405,CTCP TV-TM-DV Địa ốc Hoàng Quân,HQC,HOSE
406,CTCP Thiết bị phụ tùng Sài Gòn,SMA,HOSE
407,CTCP Thuận Đức,TDP,HOSE
408,CTCP Thuốc sát trùng Việt Nam,VPS,HOSE
409,CTCP Thép Nam Kim,NKG,HOSE
410,CTCP Thương mại - Dịch vụ Bến Thành,BTT,HOSE
411,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,PSH,HOSE
412,CTCP Thương nghiệp Cà Mau,CMV,HOSE
413,CTCP Thế giới số,DGW,HOSE
414,CTCP Thủy sản Mekong,AAM,HOSE
415,CTCP Thủy điện - Điện lực 3,DRL,HOSE
416,CTCP Thủy điện Cần Đơn,SJD,HOSE
417,CTCP Thủy điện Sê San 4A,S4A,HOSE
418,CTCP Thủy điện Thác Bà,TBC,HOSE
419,CTCP Thủy điện Thác Mơ,TMP,HOSE
420,CTCP Thủy điện Vĩnh Sơn-Sông Hinh,VSH,HOSE
421,CTCP Tàu cao tốc Superdong - Kiên Giang,SKG,HOSE
422,CTCP Tâp đoàn Hà Đô,HDG,HOSE
423,CTCP TẬP ĐOÀN KIDO,KDC,HOSE
424,CTCP Tập Đoàn Sao Mai,ASM,HOSE
425,CTCP Tập đoàn An Phát Holdings,APH,HOSE
426,CTCP Tập đoàn Công nghệ CMC,CMG,HOSE
427,CTCP Tập đoàn Dabaco Việt Nam,DBC,HOSE
428,CTCP Tập đoàn Hoa Sen,HSG,HOSE
429,CTCP Tập đoàn Hòa Phát,HPG,HOSE
430,CTCP Tập đoàn Hóa chất Đức Giang,DGC,HOSE
431,CTCP Tập đoàn Khách sạn Đông Á,DAH,HOSE
432,CTCP Tập đoàn Masan,MSN,HOSE
433,CTCP Tập đoàn PAN,PAN,HOSE
434,CTCP Tập đoàn Thiên Long,TLG,HOSE
435,CTCP Tập đoàn Thép Tiến Lên,TLH,HOSE
436,CTCP Tập đoàn Tiên Sơn Thanh Hóa,AAT,HOSE
437,CTCP Tập đoàn Yeah1,YEG,HOSE
438,CTCP Tập đoàn bệnh viện TNH,TNH,HOSE
439,CTCP Tập đoàn cơ khí công nghệ cao SIBA,SBG,HOSE
440,CTCP Tập đoàn Đầu tư Địa ốc No Va,NVL,HOSE
441,CTCP Tập đoàn Đức Long Gia Lai,DLG,HOSE
